ID,Component,Mfr / Part #,Subsystem,Qty,Unit,Status,QD v1 Use,Key Specs / Notes,Supplier,Source / Order,Photo,Allocation / Reuse
1,Raspberry Pi 3,Raspberry Pi 3,Compute,1,board,In hand (photo),Core,CanaKit Complete Starter Kit (32GB). Model B/B+ - confirm (Q5). ~26 usable GPIO; I2C/SPI/I2S/PWM. Comes OUT of CanaKit case -> M2.5 standoffs (F7). Enclosed-body heat -> F15. SD-corruption on power-loss -> F14.,CanaKit,CanaKit kit X0001YXAG7L,Thread (doc shot),Committed: QD v1
2,Pi Global Shutter Camera (wide-angle),Raspberry Pi GS,Sensing,1,unit,In hand (invoice),Core,"Global Shutter, CS-mount (PID 5702). 6mm wide lens + 24in flex now logged separately. Confirmed.",DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
3,ToF distance sensor VL53L4CD,Adafruit 5396 (VL53L4CD),Sensing,2,unit,In hand (invoice),Core,"STEMMA QT breakout, ~1-1300mm. Both addr 0x29 -> isolate via PCA9548 mux. Ridge-mounted, flank camera.",DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
4,"47:1 Metal Gearmotor 25Dx67L LP 12V, 48 CPR encoder",Pololu 4885,Drive,2,unit,In hand (photo),Core,"12V LP, stall 0.9A, free-run 60mA. 4mm D-shaft. Enc: 2248.86 cts/output-rev. ENCODER Vcc 3.5-20V, outputs swing to Vcc — see Flag F1.",Pololu,Pololu SO 1J584435 (24 Apr 2026),Mfr ref,Committed: QD v1
5,"Multi-Hub Wheel 80x10mm, 3/4mm inserts, black",Pololu 3690,Drive,2,wheel (1x 2-pack),In hand (photo),Core — verify vs TPU plan,4mm insert fits motor shaft. 80mm dia > 72mm body height — see Flag F2. Locked design called for printed TPU wheels.,Pololu,Pololu SO 1J584435,Mfr ref,Committed: QD v1
6,TB6612FNG Dual Motor Driver Carrier,Pololu 713,Drive,1,board,In hand (photo),Core,1.2A cont / 3.2A peak per ch. Survives 0.9A LP stall. VMOT max 13.5V > 12.6V pack OK. Needs PWMx2+4 dir+STBY GPIO.,Pololu,Pololu SO 1J584435,Mfr ref,Committed: QD v1
7,"Ball Caster, 1in plastic ball + bearings",Pololu 2692,Drive,1,unit,In hand (photo),Core,3rd contact point -> differential drive. Caster+shim height must match wheel axle for level deck — see Flag F2.,Pololu,Pololu SO 1J584435,Mfr ref,Committed: QD v1
8,D24V22F5 — 5V 2.5A Step-Down Regulator,Pololu 2858,Power,1,board,In hand (photo),Core,Buck for Pi/logic 5V rail. Input from 3S pack stays >5V across full discharge — no brownout.,Pololu,Pololu SO 1J584435,Mfr ref,Committed: QD v1
9,"Blade fuse assortment (ATO/ATC), 120pc",Generic,Power,1,kit,In hand (photo),Core (5-7.5A); rest spare,5/7.5/10/15/20/25/30A. QD main fuse = 5A or 7.5A. 15A+ would pass enough to melt small wiring — do not use.,Amazon,Batch photo,Thread (doc shot),Committed: QD v1
10,"Inline blade fuse holder, ~16AWG leads",Generic ATO,Power,10,unit,In hand (photo),Core (x1); 9 spare,One installed in pack +lead. Standard ATO size. ~16AWG leads vs 22AWG bus — bracket both in crimp.,Amazon,Batch photo,Thread (doc shot),Committed: QD v1
11,"XT60H connectors, M+F, w/ insulating caps",Generic XT60H,Power,10,pair (tentative),In hand (photo),Core (x1); spare,COUNT UNCONFIRMED. 60A rated (>>4A draw). Solder-cup — fill cup for 22AWG. Female on battery side.,Amazon,Batch photo (X00298J8CN),Thread (doc shot),Committed: QD v1
12,Zeee 3S 2200mAh 50C LiPo (XT60),Zeee,Power,2,pack,In hand (photo),Core (x1 + swap/spare),11.1V nom / 12.6V full / 24.42Wh. Ships XT60 (matches XT60H). STORE at 3.8V/cell between sessions. See Flags F3 (runtime LVC) + F2 (CG).,Amazon,Batch photo (X003R393X3),Thread (doc shot),Committed: QD v1
13,SKYRC iMAX B6AC V2 balance charger/discharger,SKYRC,Power / Support,1,unit,In hand (photo),Support equip (off-board),"AC/DC, 6A chg / 2A dischg, LiPo 1-6S. Balances 3S. Has STORAGE mode (3.8V/cell). Charge 3S at ~2.2A (1C), not 6A. Needs XT60 charge lead — see Flag F5.",Amazon,Batch photo,Thread (doc shot),Bench equipment
14,DaierTek KCD1-101 SPST rocker switch + spade pigtails,DaierTek KCD1-101,Power / Control,10,unit,In hand (photo),Core (x1); 9 spare,~6A. On/off between runs (saves XT60 cycles). Needs ~19x13mm panel cutout NOT in locked CAD — see Flag F4. Wire: fuse upstream of switch.,Amazon,Batch photo (X0026LFTL7),Thread (doc shot),Committed: QD v1
15,"Fermerry 22AWG stranded silicone hookup wire, 6 colors",Fermerry,Wiring,150,ft (25ft x6),In hand (photo),Core,Silicone = good for v1.5 ridge flex. 22AWG fine everywhere; thinnest acceptable on pack +lead (consider 20/18AWG there).,Amazon,Batch photo (B089D29FHC),Thread (doc shot),Committed: QD v1
16,JST-XH 2.54mm connector kit (2P-10P) + pre-crimped silicone leads,elechawk,Wiring,1,kit,In hand (photo),Core,Body-to-ridge bus connector family. Inherently keyed. 6P = locked spec; 8P available if upsizing — but mux may collapse to 4-wire I2C. See Flag F6.,Amazon,Batch photo,Thread (doc shot),Committed: QD v1
