ID,Severity,Status,Subsystem,Flag,Related Parts,Recommended Action
F1,High,Mitigated (part in hand),Drive,Encoder outputs swing to Vcc (3.5-20V); 3.3V below floor. Feeding 5V enc outputs to Pi GPIO can damage the pin.,Pololu 4885; Pi 3,DONE pending wiring: BSS138 4-ch level converter received. Enc Vcc 5V -> BSS138 -> 3.3V Pi.
F2,Medium,Open (partly mitigated),Drive / Chassis,Stance/tip-over: 80mm wheel > 72mm body; caster+shim height vs axle for level deck; big pack mass CG. IMU now helps detect tip.,"3690, 2692, Zeee, 4754",Set caster shim to wheel axle height; mount pack low/centered; use IMU tilt in reflex layer.
F3,Medium,Mitigated (addressable),Power,"Fuse stops a short, NOT LiPo over-discharge. No runtime low-voltage cutoff in inventory yet.",Zeee; Pi,ADS1115 ADC received - read pack V via divider for runtime low-voltage cutoff.
F4,Medium,Open,Chassis / Control,KCD1 rocker needs ~19x13mm panel cutout; not in locked shell. Visible black switch also tension w/ no-anthropomorphism spine.,DaierTek KCD1,Decide placement (underside/rear vs intentional cue) BEFORE top shell is printed.
F5,Low,Open,Power,B6AC V2 needs a charge lead that mates to pack XT60; may not be in charger bundle.,SKYRC B6AC; XT60H,"Confirm bundle; if absent, build XT60 charge lead from spare XT60H."
F6,Medium,Open (reframed),Sensing / Wiring,"Body-to-ridge bus: locked as 6-wire JST-XH. Mux-in-ridge could collapse it to 4-wire I2C. Connector: JST-XH (robust, flex) vs STEMMA QT JST-SH (tiny).","elechawk XH kit, 4397, 5626",Decide topology (mux in ridge?) then connector. Keep robust connector on the flex joint.
F7,Medium,Open,Compute / Chassis,"Pi is M2.5; chassis is M3 (two fastener systems). Mount method + standoff height undecided — affects bottom plate, service hatch, camera-cable routing.",Geekworm kit; Pi 3,Choose M2.5 inserts vs nut-capture; pick standoff height as part of internal stack-up.
F8,High,Open,Sensing / Scope,Order adds IMU + air-quality + 2 mics + reed + mux — large expansion past locked camera+ToF+LED. Risk: front-loading all of it stalls v1.,"4632, 5626, 375, 4754, 3421",Sensor count ~10 modalities. Pick minimal v1 (camera+ToF+IMU); rest = plug-in library post-v1 (all STEMMA QT).
F9,Medium,Open,Sensing / Firmware,I2S mic uses Pi PCM peripheral; WS2812-style LED band driven via PCM collides with it.,3421; LED band,Drive LED over SPI/PWM (not PCM). Cleanest: hand WS2812 to the KB2040 (PIO) - see F11.
F10,Medium,Open,Sensing,BNO085 has documented I2C clock-stretching trouble on Raspberry Pi.,Adafruit 4754; Pi 3,"Run BNO085 in UART-RVC or SPI mode, or budget I2C bring-up time."
T1,Tool note,Open,Wiring,Heat-shrink + XT60 solder work need a heat gun; unknown if one is owned.,Ginsco kit,Confirm a heat gun is on the shelf; add to acquire list if not.
Q1,Question,Open,Power,Exact XT60H pair count not confirmed from photo.,XT60H,Count the bag; update Qty.
Q2,Question,Open,Compute,Geekworm standoff kit: 1 or 2 boxes?,Geekworm,Confirm; update Qty (currently tentative 2).
Q3,Question,Open,Sensing,Two BNO085s: body+ridge (independent ridge orientation) or 1 + spare?,Adafruit 4754,Confirm intent; sets whether 2nd IMU is a build item or backup.
C1,—,Closed,Power,Inline fuse holder needed.,Fuse holders,Closed — 10 in hand.
C2,—,Closed,Power,Balance charger needed.,SKYRC B6AC,Closed — B6AC V2 in hand.
C3,—,Mitigated,Power,Pack puffing if stored at full charge across weekends.,Zeee; B6AC,Mitigated — use charger STORAGE mode (3.8V/cell). Lives on as a habit.
C4,—,Closed,Power,Connector match between pack and interconnect.,Zeee; XT60H,"Closed — pack ships XT60, matches XT60H."
F11,Medium,Open,Compute,KB2040 (RP2040) arrived (free). Could be the real-time co-processor for Layer-1 reflex + encoder counting + WS2812/I2S offload - or a spare.,Adafruit 5302; Pi 3,"Decide compute topology: Pi + RP2040 co-pro, or Pi-only. If co-pro, it cleanly resolves F9 and reflex timing."
F12,Medium,Open,Sensing,I2C address management as device count grows. 2x DS3231 share FIXED 0x68 -> collide on one bus.,DS3231 x2; mux; hub,"Map every I2C device to bus/mux channel. Colliders (ToF, 2nd RTC) -> separate mux channels; unique-addr -> hub."
Q4,Question,Resolved,Sensing,Magnetic sensing intent: 2x DRV5032 Hall + 4x Adafruit reed (375) + ~20 glass reed (E383) all overlap. No defined v1 magnetic job.,6051; 375; E383 reeds,"RESOLVED: No magnetic sensor in v1 (core=cam+ToF+IMU per F8). DRV5032 Hall = sensor-of-record for on-chassis magnetics (module-ID, v1.5) - solid-state, vibration-immune. Reeds = library/spare; one good future job = ZERO-POWER dock-presence detect IF a charging dock is added (v1.5+). Reeds parked, not orphaned."
F13,Medium,Open,Power,5V rail budget: D24V22F5 is 2.5A. Pi 3 active ~0.7-1A; addressable LED band can add ~1A (WS2812 ~60mA/LED at white) + sensors.,D24V22F5; Pi 3; LED band,Budget the 5V rail; cap LED count/brightness or move LED band to its own supply if needed.
F14,High,Open,Compute,Abrupt power-off (kill switch / pack cutoff) can corrupt the Pi's microSD (ext4 on yank).,Pi 3; microSD; ADS1115,Use F3's pack-V sense to trigger a GRACEFUL shutdown before cutoff; and/or run a read-only root filesystem.
F15,Medium,Open,Compute / Chassis,Pi 3 runs warm under vision load; sealed printed body may throttle it.,Pi 3; chassis,Fit kit heatsinks; provide airflow (service hatch as vent / vent slots) in body design.
Q5,Question,Open,Compute,"Pi 3 model: B or B+? (affects WiFi band + thermals, minor).",Pi 3,Confirm from board silkscreen.
F16,Opportunity,Open,Sensing / Behavior,"Reflex layer (Layer-1, sub-100ms) wants dumb/fast/no-bus sensors - wrong job for I2C gear. 37-in-1 kit supplies them.",37-in-1 kit; KB2040,"Use kit IR-reflectance (cliff/edge) + shock/tilt (impact/tip) read directly by KB2040 for a deterministic reflex loop, independent of Pi/I2C."
F17,Medium,Open,Sensing / Chassis,"PIR invalid while moving (field change -> constant false triggers). Also: LWIR (8-14um) won't pass printed PETG/ASA shell, so Fresnel domes must be exposed - protrusions vs no-anthropomorphism spine.",HC-SR501 x5; encoders/IMU; shell,Use PIR as at-rest presence-attention only: gate output on zero-velocity (encoders/IMU). Design dome openings into shell now. Reframe: stillness-gated 'other present' significance.
Q6,Question,Open,Sensing,"Five PIRs: perimeter array for omnidirectional at-rest coverage, or spares?",HC-SR501 x5; KB2040,"If array: 5 GPIO (consider KB2040, or OR down to 'presence anywhere' if bearing not needed)."
